Topic,TimeQueried,Video_Title,Video_ID,Published_AT,Duration,ViewCount,LikeCount,DislikeCount,favoriteCount,Definition,Caption,Zscore_Trend,Score
Artificial Intelligence,2020-08-22 0:45:34,Making Art with Artificial Intelligence: Artists in Conversation (Google I/O&#39;19),sb69lYnO624,2019-05-08T19:28:51Z,2264,12257,247,8,0,hd,True,1,1.5003125169999998
Artificial Intelligence,2020-08-22 0:45:34,Use machine learning &amp; artificial intelligence in your apps (Innovation track - Playtime EMEA 2017),nOX4QdgXHrY,2018-02-15T23:49:00Z,1395,11102,149,5,0,hd,True,1,1.500275596
Artificial Intelligence,2020-08-22 0:45:34,Artificial Intelligence and Marketing: The Future Is Here,6XfvBb2L01Q,2019-09-10T07:00:00Z,359,7752,178,4,0,hd,True,1,1.500237929
Artificial Intelligence,2020-08-22 0:45:34,The Birth of Artificial Intelligence,eYmKC0oQtDE,2020-04-23T13:00:33Z,1070,7618,326,14,0,hd,True,1,1.500126082
Artificial Intelligence,2020-08-22 0:45:34,Artificial Intelligence Trends of 2020,T4-nQOJJpVg,2020-01-15T19:00:04Z,147,4900,53,2,0,hd,True,1,1.5001164319999998
Artificial Intelligence,2020-08-22 0:45:34,Artificial Intelligence in Operations (AIOps),GSS_rTXkpFU,2019-03-26T11:24:08Z,687,4436,54,2,0,hd,True,1,1.50010582
Artificial Intelligence,2020-08-22 0:45:34,Artificial Intelligence: The Global Race for the New Frontier - Narrated by David Strathairn,1tdIBdZ0KSg,2020-03-20T19:55:20Z,1607,7571,92,7,0,hd,True,1,1.50010078
Artificial Intelligence,2020-08-22 0:45:34,Prerequisites for Artificial Intelligence: AI Jobs,-wlzKwU-DGE,2019-11-12T13:00:54Z,198,10892,150,14,0,hd,True,1,1.500071217
Artificial Intelligence,2020-08-22 0:45:34,Quantum Computers and Artificial Intelligence...666?,HO_yngZtT1w,2020-04-23T16:17:59Z,959,6078,366,18,0,hd,True,1,1.5000301440000001
Artificial Intelligence,2020-08-22 0:45:34,How Automation and Artificial Intelligence are Changing the Audit,Rz0_ynXyWs0,2020-07-08T16:02:48Z,212,180,6,0,0,hd,True,1,1.500009022
Artificial Intelligence,2020-08-22 0:45:34,Ensuring Ethics in Artificial Intelligence,DAcCNtabe70,2020-08-19T14:29:20Z,91,44,7,0,0,hd,True,1,1.500006455
Artificial Intelligence,2020-08-22 0:45:34,Artificial Intelligence Meets Health Care in Canada: the DynaLIFE-AltaML Partnership,onYiIGci7m8,2020-08-19T18:46:00Z,166,73,3,0,0,hd,True,1,1.5000040940000001
Artificial Intelligence,2020-08-22 0:45:34,HSS Minute: Reporting Patient Outcomes with Artificial Intelligence,YtPYuFP84N8,2020-08-19T11:00:13Z,64,51,2,0,0,hd,True,1,1.500002787
Artificial Intelligence,2020-08-22 0:45:34,What Is Deep Learning (The Rise of Artificial Intelligence),pK9_ddD56J0,2020-08-01T13:00:23Z,630,2822,209,15,0,hd,True,1,1.4998963859999999
Artificial Intelligence,2020-08-22 0:45:34,Artificial Intelligence: it will kill us | Jay Tuck | TEDxHamburgSalon,BrNs0M77Pd4,2017-01-31T18:36:05Z,1053,3601023,37202,5349,0,hd,True,1,1.498021122
Artificial Intelligence,2020-08-22 0:45:34,Why artificial intelligence has no common sense,NPEPx6VUgrg,2018-07-09T14:00:03Z,372,110417,3776,365,0,hd,True,1,1.497496845
Artificial Intelligence,2020-08-22 18:04:41,How Machines Learn,R9OHn5ZF4Uo,2017-12-18T14:39:33Z,535,5043334,338140,2334,0,hd,True,0,1.3315005629999999
Artificial Intelligence,2020-08-22 0:45:34,Google&#39;s DeepMind AI Just Taught Itself To Walk,gn4nRCC9TwQ,2017-07-12T17:01:18Z,111,10969814,172541,4132,0,hd,False,1,1.309721533
Artificial Intelligence,2020-08-22 0:45:34,MarI/O - Machine Learning for Video Games,qv6UVOQ0F44,2015-06-13T19:00:01Z,358,9884334,161463,3248,0,hd,False,1,1.294236477
Artificial Intelligence,2020-08-22 0:45:34,Artificial Intelligence and Data Science Jobs Explained by real-life Data Scientists,SRaVsOl-kYc,2020-01-24T13:26:42Z,245,3133,86,1,0,sd,True,1,1.25012066
Artificial Intelligence,2020-08-22 0:45:34,Robot Lebih Pintar Daripada Manusia,TXis8n9UXLk,2019-02-06T11:10:28Z,500,2813687,182765,1748,0,hd,False,1,1.170518446
Artificial Intelligence,2020-08-22 0:45:34,ROBOT SAVES BABY!! COZMO Playtime! Artificial Intelligence Super Computer FUNnel VisION Fun,YN6hnjXWQUo,2018-09-29T15:59:54Z,963,7625085,51691,3104,0,hd,False,1,1.157727454
Artificial Intelligence,2020-08-22 0:45:34,#ArtificialIntelligence | DC Super Hero Girls: Super Shorts,NHMzY1nX3-8,2019-08-15T14:58:45Z,241,7795551,21732,3293,0,hd,False,1,1.134701032
Artificial Intelligence,2020-08-22 0:45:34,"You can soon buy a sex robot equipped with artificial intelligence for about $20,000",-cN8sJz50Ng,2018-04-25T07:24:22Z,448,7426936,26006,4218,0,hd,False,1,1.108387681
Artificial Intelligence,2020-08-22 0:45:34,Inteligência Artificial jogando Flappy Bird!!,vavXvu_SMeM,2019-02-18T16:59:19Z,498,1317037,126701,1170,0,hd,True,0,1.103602118
Artificial Intelligence,2020-08-22 0:45:34,AI can do THIS!??! - Art &amp; Animation with Artificial Intelligence,2n9e3UVqBH0,2019-08-22T11:00:01Z,689,1953480,80982,922,0,hd,False,1,1.0896118670000001
Artificial Intelligence,2020-08-22 0:45:34,Free energy of Tesla. Film (Dubbed into English).,ecni9SjkWoM,2014-02-04T15:13:49Z,3171,2244392,47276,991,0,hd,False,1,1.069328506
Artificial Intelligence,2020-08-22 0:45:34,Google and NASA&#39;s Quantum Artificial Intelligence Lab,CMdHDHEuOUE,2013-10-11T16:14:40Z,389,9193334,139828,11938,0,hd,True,0,1.0675669429999999
Artificial Intelligence,2020-08-22 18:04:41,HAZIRLANIN! Yapay zeka insan zekasını geçmek üzere...,hbTXsHZBWdI,2019-06-02T06:44:05Z,921,1362741,66724,984,0,hd,True,0,1.062796523
Artificial Intelligence,2020-08-22 0:45:34,Daddy&#39;s Car: a song composed by Artificial Intelligence - in the style of the Beatles,LSHZ_b05W7o,2016-09-19T11:05:13Z,181,2562167,20836,1490,0,hd,False,1,1.045728553
Artificial Intelligence,2020-08-22 0:45:34,6 Developing Female Robots With Artificial Intelligence Will Be Your Partner or Assistant In Future.,wSEjoYHxlOY,2018-03-14T18:11:18Z,1247,3332701,11527,2099,0,hd,False,1,1.043944125
