Topic,TimeQueried,Video_Title,Video_ID,Published_AT,Duration,ViewCount,LikeCount,DislikeCount,favoriteCount,Definition,Caption,Zscore_Trend,Score
Machine Learning,2020-08-22 0:45:34,Intro to machine learning on Google Cloud Platform (Google I/O &#39;18),gVz9jKE_9iU,2018-05-10T22:01:03Z,2359,66215,936,24,0,hd,True,1,1.501809427
Machine Learning,2020-08-22 0:45:34,DIFERENCIA ENTRE INTELIGENCIA ARTIFICIAL - MACHINE LEARNING - DEEP LEARNING,6iVUKYgOihQ,2018-04-14T21:46:30Z,759,49310,1512,32,0,hd,True,1,1.501659395
Machine Learning,2020-08-22 0:45:34,"Past, Present and Future of AI / Machine Learning (Google I/O &#39;17)",0ueamFGdOpA,2017-05-19T19:34:09Z,2673,121969,1641,117,0,hd,True,1,1.50165159
Machine Learning,2020-08-22 0:45:34,Lecture 3 - Locally Weighted &amp; Logistic Regression | Stanford CS229: Machine Learning (Autumn 2018),het9HFqo1TQ,2020-04-17T20:08:31Z,4774,41997,510,5,0,hd,True,1,1.501310538
Machine Learning,2020-08-22 0:45:34,Cos&#39;è il Machine Learning (Reti Neurali e A.I.),X_ZUyvAA9Qw,2018-10-31T17:20:09Z,2168,28742,1241,16,0,hd,True,1,1.501302392
Machine Learning,2020-08-22 0:45:34,DeepMind x UCL | Deep Learning Lectures | 2/12 |  Neural Networks Foundations,FBggC-XVF4M,2020-06-01T10:10:24Z,5053,34337,586,5,0,hd,True,1,1.501181039
Machine Learning,2020-08-22 0:45:34,Machine Learning Foundations: Ep #2 - First steps in computer vision,j-35y1M9rRU,2020-05-09T16:00:28Z,1018,27264,734,5,0,hd,True,1,1.501121229
Machine Learning,2020-08-22 0:45:34,Music and Machine Learning (Google I/O&#39;19),pM9u9xcM_cs,2019-05-09T01:00:18Z,2478,30360,492,11,0,hd,True,1,1.500877983
Machine Learning,2020-08-22 0:45:34,"Lecture 2: Machine Learning 1 - Linear Classifiers, SGD | Stanford CS221: AI (Autumn 2019)",zrT2qETJilw,2020-01-08T19:22:26Z,4834,28354,462,8,0,hd,True,1,1.5008724119999999
Machine Learning,2020-08-22 0:45:34,Building Mario Levels with Machine Learning | AI and Games,U-CDQtIJ8eg,2019-05-15T14:00:03Z,1489,26779,903,23,0,hd,True,1,1.500839126
Machine Learning,2020-08-22 0:45:34,Nazirini’s story - using machine learning to tackle crop disease,23Q7HciuVyM,2019-11-13T17:02:26Z,327,26537,712,20,0,hd,True,1,1.5007531769999998
Machine Learning,2020-08-22 0:45:34,Machine Learning Foundations: Ep #3 - Convolutions and pooling,PCgLmzkRM38,2020-05-13T16:01:06Z,697,16340,459,5,0,hd,True,1,1.5006421269999999
Machine Learning,2020-08-22 0:45:34,Making Friends with Machine Learning: Regression,WNvOtwP_yf4,2019-02-04T17:00:13Z,1143,12994,465,4,0,hd,True,1,1.500586895
Machine Learning,2020-08-22 0:45:34,The Difference Between Artificial Intelligence and Machine Learning,ihd9zrW6DOk,2018-05-11T15:59:30Z,293,24337,179,8,0,hd,True,1,1.5005565619999999
Machine Learning,2020-08-22 0:45:34,Machine Learning Foundations: Ep #4 - Coding with Convolutional Neural Networks,dd8H4fiL9Yc,2020-05-16T16:00:26Z,426,16778,372,9,0,hd,True,1,1.500497169
Machine Learning,2020-08-22 0:45:34,#11WeeksOfAndroid: Machine Learning week highlights,P-IcDKAlRL4,2020-06-26T17:47:57Z,132,11116,237,3,0,hd,True,1,1.500387964
Machine Learning,2020-08-22 0:45:34,DeepMind x UCL | Deep Learning Lectures | 5/12 |  Optimization for Machine Learning,kVU8zTI-Od0,2020-06-01T10:10:46Z,5421,14701,240,8,0,hd,True,1,1.500367082
Machine Learning,2020-08-22 0:45:34,Lecture 7 - Kernels | Stanford CS229: Machine Learning (Autumn 2018),8NYoQiRANpg,2020-04-17T20:10:13Z,4825,12294,125,2,0,hd,True,1,1.500353065
Machine Learning,2020-08-22 0:45:34,What’s New in Android Machine Learning (Google I/O&#39;19),wpKJpeOy-68,2019-05-08T18:59:57Z,2555,14506,226,8,0,hd,True,1,1.500351548
Machine Learning,2020-08-22 0:45:34,Machine Learning Foundations: Ep #6 - Convolutional cats and dogs,nq7_ZYJPWf0,2020-05-23T16:00:33Z,725,11292,248,6,0,hd,True,1,1.5003340619999999
Machine Learning,2020-08-22 0:45:34,Azure Machine Learning Studio,JNa4VV0d8T0,2019-11-12T18:00:00Z,542,9302,135,1,0,hd,True,1,1.5003095869999998
Machine Learning,2020-08-22 0:45:34,"Building a $5,000 Machine Learning Workstation with a NVIDIA TITAN RTX and RYZEN ThreadRipper",iahQOQZVdog,2020-07-15T12:21:28Z,981,11316,246,8,0,hd,True,1,1.5002886709999999
Machine Learning,2020-08-22 0:45:34,AI: What is Machine Learning?,OeU5m6vRyCk,2019-12-02T19:34:52Z,176,12920,190,13,0,hd,True,1,1.500173895
Machine Learning,2020-08-22 0:45:34,Lesson 1 - Deep Learning for Coders (2020),_QUEXsHfsA0,2020-08-21T17:59:51Z,4951,2244,98,0,0,hd,True,1,1.500130295
Machine Learning,2020-08-22 0:45:34,Lesson 2 - Deep Learning for Coders (2020),BvHmRx14HQ8,2020-08-21T17:59:51Z,5465,1814,51,0,0,hd,True,1,1.500083655
Machine Learning,2020-08-22 0:45:34,Machine Learning Data Lineage with MLflow and Delta Lake,3-YytTKi5fk,2020-08-19T15:52:50Z,1742,430,9,0,0,hd,True,1,1.5000174569999998
Machine Learning,2020-08-22 0:45:34,TensorFlow In 10 Minutes | TensorFlow Tutorial For Beginners | Deep Learning &amp; TensorFlow | Edureka,tXVNS-V39A0,2019-05-06T13:34:55Z,541,143433,1744,349,0,hd,True,1,1.497101634
Machine Learning,2020-08-22 0:45:34,Machine Learning: Making Sense of a Messy World,l95h4alXfAA,2015-11-03T21:00:45Z,228,706534,7950,1213,0,hd,True,1,1.4964781319999998
Machine Learning,2020-08-22 0:45:34,"Machine Learning: Solving Problems Big, Small, and Prickly",_rdINNHLYaQ,2016-12-12T21:46:37Z,320,635258,7959,1168,0,hd,True,1,1.495736961
Machine Learning,2020-08-22 0:45:34,Tania’s Story: Morse code meets machine learning,Oc_QMQ4QHcw,2018-05-08T17:14:02Z,145,713806,4904,2246,0,hd,True,1,1.471362122
Machine Learning,2020-08-22 18:04:41,Stealing Baseball Signs with a Phone (Machine Learning),PmlRbfSavbI,2019-06-30T17:23:23Z,849,13215115,307069,8474,0,hd,True,0,1.3716127359999999
Machine Learning,2020-08-22 0:45:34,Deep Learning Cars,Aut32pR5PQA,2016-10-23T15:48:14Z,199,4880558,40480,1189,0,hd,False,1,1.124362335
Machine Learning,2020-08-22 18:04:41,Fallout 4 - Intro Cinematic (Colorized using AI Machine Learning) [IMPRESSIVE RESULTS],gYNajpnyZiM,2019-07-21T17:15:49Z,196,3084349,113547,2115,0,hd,True,0,1.115844647
Machine Learning,2020-08-22 0:45:34,"Gradient descent, how neural networks learn | Deep learning, chapter 2",IHZwWFHWa-w,2017-10-16T16:48:20Z,1261,2893337,63995,480,0,hd,True,0,1.109438918
Machine Learning,2020-08-22 18:04:41,Google&#39;s Deep Mind Explained! - Self Learning A.I.,TnUYcTuZJpM,2016-05-02T06:02:21Z,825,3393629,65951,2021,0,hd,False,1,1.088967003
Machine Learning,2020-08-22 18:04:41,Practical Machine Learning Tutorial with Python Intro p.1,OGxgnH8y2NM,2016-04-11T00:18:14Z,355,2153949,19160,230,0,hd,True,0,1.062429302
Machine Learning,2020-08-22 0:45:34,The 7 steps of machine learning,nKW8Ndu7Mjw,2017-08-31T19:19:11Z,636,1807328,29445,712,0,hd,True,0,1.051115826
Machine Learning,2020-08-22 0:45:34,"Backpropagation calculus | Deep learning, chapter 4",tIeHLnjs5U8,2017-11-03T14:08:09Z,618,1199565,25199,194,0,hd,True,0,1.044460417
Machine Learning,2020-08-22 18:04:41,Le deep learning — Science étonnante #27,trWrEWfhTVg,2016-04-08T15:00:03Z,1207,1136618,29471,278,0,hd,True,0,1.044330701
Machine Learning,2020-08-22 0:45:34,Google DeepMind&#39;s Deep Q-learning playing Atari Breakout,V1eYniJ0Rnk,2015-03-07T20:35:17Z,103,1132695,5095,89,0,hd,True,0,1.0297146940000002
Machine Learning,2020-08-22 18:04:41,Learn Machine Learning in 3 Months (with curriculum),Cr6VqTRO1v0,2018-03-02T11:42:24Z,605,705289,30569,555,0,hd,True,0,1.02843999
Machine Learning,2020-08-22 0:45:34,TensorFlow: Open source machine learning,oZikw5k_2FM,2015-11-09T21:34:03Z,138,1423632,9059,638,0,hd,True,0,1.027694406
Machine Learning,2020-08-22 0:45:34,A Friendly Introduction to Machine Learning,IpGxLWOIZy4,2016-09-09T18:10:53Z,1853,821420,12927,200,0,hd,False,1,1.025628594
Machine Learning,2020-08-22 0:45:34,RL Course by David Silver - Lecture 1: Introduction to Reinforcement Learning,2pWv7GOvuf0,2015-05-13T10:58:33Z,5293,859717,7407,69,0,hd,False,1,1.025239778
Machine Learning,2020-08-22 0:45:34,AI Learns to Park - Deep Reinforcement Learning,VMp6pq6_QjI,2019-08-23T10:30:00Z,666,1083722,19468,752,0,hd,False,1,1.024818383
Machine Learning,2020-08-22 0:45:34,"Deep Learning with Python, TensorFlow, and Keras tutorial",wQ8BIBpya2k,2018-08-11T14:17:31Z,1234,744439,12079,207,0,hd,True,0,1.02293383
Machine Learning,2020-08-22 0:45:34,Machine Learning: Living in the Age of AI | A WIRED Film,ZJixNvx9BAc,2019-06-20T16:00:06Z,2477,861642,16323,541,0,hd,False,1,1.021645385
Machine Learning,2020-08-22 0:45:34,Redes Neurais e Machine Learning | Nerdologia Tech,1_c_MA1F-vU,2019-01-31T12:57:40Z,553,217964,25455,191,0,hd,False,1,1.0206496109999998
Machine Learning,2020-08-22 0:45:34,Neural Network Architectures and Deep Learning,oJNHXPs0XDk,2019-06-06T05:12:13Z,549,445620,17185,219,0,hd,False,1,1.019259728
Machine Learning,2020-08-22 18:04:41,Machine Learning &amp; Artificial Intelligence: Crash Course Computer Science #34,z-EtmaFJieY,2017-11-01T21:50:13Z,711,565781,12535,198,0,hd,True,0,1.019102372
Machine Learning,2020-08-22 0:45:34,Machine Learning &amp; Artificial Intelligence: Crash Course Computer Science #34,z-EtmaFJieY,2017-11-01T21:50:13Z,711,565641,12533,198,0,hd,True,0,1.019097403
Machine Learning,2020-08-22 0:45:34,Interview With My Brother Who Sold His Startup For $60 Million | Machine Learning Engineer,fB7nyxXaczY,2019-10-16T14:00:07Z,1760,610886,11564,222,0,hd,False,1,1.018929576
Machine Learning,2020-08-22 0:45:34,Deep Learning: A Crash Course,r0Ogt-q956I,2018-08-13T01:03:22Z,12783,721751,3230,83,0,hd,False,1,1.018337256
